,movieId,imdbId,tmdbId,tbid,imid
0,1,114709,862.0,7.9,8.3
1,2,113497,8844.0,7.1,6.9
2,3,113228,15602.0,6.5,6.6
3,4,114885,31357.0,6.1,5.8
4,5,113041,11862.0,6.1,6.0
5,6,113277,949.0,7.8,8.2
6,7,114319,11860.0,6.1,6.3
7,8,112302,45325.0,5.3,5.6
8,9,114576,9091.0,5.7,5.7
9,10,113189,710.0,6.8,7.2
10,11,112346,9087.0,6.6,6.8
11,12,112896,12110.0,5.8,5.8
12,13,112453,21032.0,7.2,7.1
13,14,113987,10858.0,7.0,7.1
14,15,112760,1408.0,5.8,5.6
15,16,112641,524.0,7.9,8.2
16,17,114388,4584.0,7.4,7.7
17,18,113101,5.0,6.3,6.8
18,19,112281,9273.0,6.2,6.4
19,20,113845,11517.0,5.6,5.6
20,21,113161,8012.0,6.5,6.9
21,22,112722,1710.0,6.5,6.6
22,23,112401,9691.0,6.2,6.3
23,24,114168,12665.0,6.4,6.6
24,25,113627,451.0,7.2,7.5
25,26,114057,16420.0,6.6,6.9
26,27,114011,9263.0,6.8,6.8
27,28,114117,17015.0,7.6,7.7
28,29,112682,902.0,7.5,7.6
29,30,115012,37557.0,7.0,7.2
30,31,112792,9909.0,6.5,6.5
31,32,114746,63.0,7.5,8.0
32,33,114952,78802.0,6.6,6.5
33,34,112431,9598.0,6.1,6.8
34,35,112637,47018.0,6.9,6.9
35,36,112818,687.0,7.4,7.5
36,37,112286,139405.0,4.3,6.4
37,38,113442,33689.0,6.3,5.8
38,39,112697,9603.0,7.2,6.8
39,40,112749,34615.0,6.7,6.9
40,41,114279,31174.0,6.9,7.5
41,42,112819,11443.0,6.6,6.9
42,43,114272,35196.0,6.5,6.7
43,44,113855,9312.0,5.6,5.8
44,45,114681,577.0,6.7,6.8
45,46,113347,11861.0,6.3,6.2
46,47,114369,807.0,8.3,8.6
47,48,114148,10530.0,6.9,6.7
48,49,114916,8391.0,6.6,6.6
49,50,114814,629.0,8.2,8.6
50,51,109950,117164.0,6.3,4.9
51,52,113819,11448.0,6.7,7.1
52,53,110299,49133.0,7.4,7.6
53,54,112499,26441.0,5.1,5.5
54,55,113158,97406.0,6.3,6.5
55,56,113541,124057.0,4.0,5.0
56,57,113321,9089.0,6.3,6.6
57,58,110877,11010.0,7.9,7.7
58,59,112714,99040.0,6.8,7.5
59,60,113419,11359.0,6.0,6.0
60,61,116260,17182.0,6.0,6.2
61,62,113862,2054.0,7.1,7.3
62,63,116126,10607.0,6.2,6.6
63,64,118002,19760.0,4.8,5.2
64,65,115683,9536.0,4.4,4.4
65,66,116839,11525.0,2.9,2.4
66,67,114753,40628.0,5.8,6.3
67,68,113149,4482.0,6.2,6.4
68,69,113118,10634.0,7.1,7.3
69,70,116367,755.0,7.0,7.2
70,71,113010,11859.0,4.1,4.2
71,72,113537,28387.0,6.9,6.9
72,73,113828,48750.0,6.7,7.5
73,74,115644,20927.0,5.3,6.1
74,75,115676,36929.0,4.0,4.6
75,76,114367,9102.0,6.2,6.4
76,77,113973,124626.0,7.5,7.3
77,78,112744,27526.0,6.1,6.3
78,79,116731,9623.0,5.5,5.6
79,80,112445,46785.0,7.6,7.8
80,81,114660,400.0,6.6,6.8
81,82,112379,880.0,7.4,7.5
82,83,114039,146599.0,4.5,7.2
83,84,113612,188588.0,0.0,6.0
84,85,112365,8447.0,6.5,7.0
85,86,118158,10534.0,6.3,6.6
86,87,116151,17414.0,5.1,5.3
87,88,115697,13997.0,6.1,6.2
88,89,113972,2086.0,6.1,6.3
89,90,113490,61548.0,6.7,6.6
90,92,117002,9095.0,5.8,5.8
91,93,114825,12158.0,4.7,4.5
92,94,115639,9283.0,6.8,7.2
93,95,115759,9208.0,5.9,6.0
94,96,113403,40154.0,7.5,7.3
95,97,113247,406.0,8.0,8.1
96,98,111173,45549.0,6.1,5.4
97,99,113283,63076.0,7.4,6.6
98,100,115907,11062.0,6.1,6.2
99,101,115734,13685.0,6.8,7.0
100,102,117102,47475.0,3.9,3.8
101,103,118040,2045.0,5.6,6.0
102,104,116483,9614.0,6.5,7.0
103,105,112579,688.0,7.5,7.6
104,106,110251,11907.0,4.9,7.3
105,107,117110,10874.0,6.4,7.0
106,108,112646,89333.0,7.0,6.4
107,109,113276,96357.0,0.0,4.8
108,110,112573,197.0,7.9,8.4
109,111,75314,103.0,8.2,8.3
110,112,113326,33542.0,6.6,6.8
111,113,115645,43566.0,6.1,6.1
112,114,113774,71754.0,6.3,7.3
113,115,112556,43612.0,7.1,7.0
114,116,112373,51352.0,8.4,8.1
115,117,115033,16934.0,7.1,7.1
116,118,116606,10324.0,4.8,4.9
117,119,114536,78406.0,4.5,4.9
118,120,117427,55731.0,5.3,5.4
119,121,106473,32119.0,8.0,7.7
120,122,103859,11066.0,5.5,5.5
121,123,109424,11104.0,8.0,8.1
122,124,114808,37975.0,7.1,7.4
123,125,116324,2074.0,6.2,6.8
124,126,110647,27793.0,4.3,3.2
125,127,111055,44284.0,6.7,7.4
126,128,110217,290157.0,8.0,7.2
127,129,114131,110972.0,6.5,5.8
128,130,112364,32622.0,5.5,6.4
129,131,113107,73067.0,5.7,6.7
130,132,113451,11863.0,5.2,5.2
131,133,114015,55475.0,5.3,7.1
132,134,114500,124636.0,7.5,7.3
133,135,116130,9101.0,5.8,6.1
134,136,113125,123360.0,6.5,7.1
135,137,113756,5757.0,3.8,6.1
136,138,113952,39428.0,6.6,6.2
137,139,114618,124639.0,0.0,7.8
138,140,118055,9302.0,6.2,6.1
139,141,115685,11000.0,7.0,7.0
140,142,94878,,,
141,143,113200,249882.0,7.0,5.0
142,144,112585,16388.0,6.1,6.6
143,145,112442,9737.0,6.6,6.9
144,146,112342,30765.0,5.5,5.8
145,147,112461,10474.0,7.3,7.3
146,148,112427,22279.0,6.5,6.0
147,149,109093,30157.0,6.7,7.0
148,150,112384,568.0,7.4,7.6
149,151,114287,11780.0,6.7,6.9
150,152,112288,34996.0,6.5,6.4
151,153,112462,414.0,5.3,5.4
152,154,61395,649.0,7.5,7.8
153,155,112495,1873.0,6.8,6.6
154,156,112541,5894.0,6.9,6.7
155,157,109370,1775.0,5.9,5.9
156,158,112642,8839.0,6.2,6.1
157,159,112688,20649.0,6.9,6.9
158,160,112715,10329.0,5.2,5.1
159,161,112740,8963.0,7.1,7.3
160,162,109508,26564.0,7.7,8.0
161,163,112851,8068.0,6.8,7.2
162,164,112857,8512.0,6.5,6.7
163,165,112864,1572.0,7.1,7.6
164,166,112887,13552.0,6.0,6.0
165,167,113044,259209.0,6.0,6.4
166,168,113071,6520.0,6.0,5.9
167,169,113114,9073.0,5.6,5.0
168,170,113243,10428.0,6.3,6.2
169,171,113464,17447.0,6.7,6.7
170,172,113481,9886.0,5.6,5.6
171,173,113492,9482.0,5.5,5.5
172,174,113500,19326.0,4.2,4.1
173,175,113540,9344.0,6.9,7.0
174,176,113677,9071.0,7.3,7.5
175,177,113690,8973.0,6.0,6.1
176,178,107447,15730.0,6.5,6.7
177,179,113729,47608.0,5.0,5.3
178,180,113749,2293.0,6.8,7.2
179,181,113820,9070.0,5.3,5.2
180,182,113851,68274.0,5.7,5.8
181,183,110604,48787.0,6.5,6.8
182,184,110620,34574.0,5.8,6.0
183,185,113957,1642.0,5.9,5.9
184,186,113986,11472.0,5.6,5.5
185,187,114095,36196.0,6.2,6.6
186,188,114194,11980.0,6.4,6.5
187,189,114241,58372.0,10.0,5.2
188,190,114323,32646.0,7.1,7.2
189,191,114345,10533.0,5.7,5.2
190,192,114435,56088.0,5.3,6.8
191,193,114436,10802.0,5.1,4.7
192,194,114478,10149.0,7.3,7.4
193,195,114496,18402.0,5.7,5.7
194,196,114508,9348.0,5.7,5.8
195,197,114534,139408.0,6.5,6.5
196,198,114558,281.0,7.0,7.2
197,199,58450,5967.0,7.5,7.9
198,200,114666,79593.0,5.0,5.0
199,201,114663,47939.0,6.2,6.2
200,202,114702,36834.0,6.5,6.6
